Kraj,Wartosc
BA,3700000.0
HU,5825043.509040052
SO,2600000.0
IT,1.1873926575090656E7
PL,1989771.96272399
SI,3114389.7913577594
IE,8022371.37878981
HR,1997770.0125683846
CN,469898.0
CH,2165861.752712375
CZ,2496537.65914366
SK,4355568.42405
RO,643962.3781093609
BR,6000000.0
LV,1287146.4194350285
IS,9448665.705026563
GR,2517215.6704040403
SE,2774839.7131342296
RU,403825.9177830044
PT,7381288.999270833
LU,4098973.1029411764
MT,654273.22
MK,132186.12454335776
TL,991162.1376063434
AR,2319967.0
BE,1.0060084346545454E7
UK,5.566995694208023E7
FR,3.1858724464434035E7
FI,4687954.764792494
NO,5320563.184318465
DK,9056908.93386176
ES,4251852.3095481675
DE,3846558.455119385
AT,4548567.387698413
BG,619401.826849582
US,557528.7024035681
UA,1.0595686363717306E7
NL,2678258.9163890076
