Kraj,Wartosc
HU,1.2360532283820273E7
TZ,280312.5261134787
IT,1.2339745678293487E7
RS,400000.0
PL,2038322.5077632563
GD,434451.37539625727
SI,1698623.5914048126
IE,5055181.946970087
HR,1931524.2830188004
CH,2716517.5376057047
CZ,2536848.4073808277
ML,2050308.2995543864
BF,2159596.7439811216
BO,1.1698838472465947E7
VE,700807.8535637591
SK,4956450.002831049
BI,35448.02638306576
RO,855420.17
LV,1148248.175
IS,5132011.743322452
GR,2402263.688387097
SE,5183477.807089762
PT,5431593.431212121
EE,1602867.019380531
LU,5300296.805
MT,498330.35931034485
CY,1096287.529
VA,439717.7625524082
AX,270000.0
MK,510422.2029412208
BE,3120079.2469729725
CA,247790.53440158584
UK,2.5247870275614545E7
FR,3858684.8812490916
FI,2783831.763106093
NO,4214989.559131598
DK,7545312.217697106
VU,20451.988955925965
DE,2724712.8654034724
ES,4918608.77567329
MM,990660.0
LT,724138.0899068174
AT,2488971.1515151514
BG,625194.1918022692
US,3300000.0
NL,7908906.430522387
