Kraj,Wartosc
BA,630000.0
HU,3968693.343347157
IT,3.051074076813843E7
PL,1607405.7895484918
SI,1791018.5218421053
IE,1.0544750857577642E7
HR,1207073.6988014346
CZ,1649931.6146718585
CH,1801681.362636138
VE,4116554.0
SK,3039664.8673611116
RO,344617.27112751623
LV,4688770.6224
IS,1427866.0192576742
SE,3253052.1482752264
GR,1486304.7457971014
RU,184067.90060333366
PT,2699601.657647059
LU,6151954.6859090915
MT,6586745.658333334
CY,125959.2
TR,3000000.0
MK,361244.03854129446
BE,3324494.655576923
UK,3.945797000583561E7
FR,9602448.729997216
FI,5153893.492098765
NO,3813787.510507513
DK,9628910.507021418
ES,3054766.283125565
DE,2155322.726647416
AT,3957064.42253886
BG,1698186.5188916216
UA,985933.8179994986
NL,3595464.500116279
