Kraj,Wartosc
HU,6232485.83448717
IT,9856385.457883894
RS,1154586.78
IN,645491.8032786886
PL,2831016.3440770437
SI,773448.1913513513
IE,5253110.504434782
HR,6957913.970231354
CZ,1756548.6942598638
CH,1107744.5723707674
ID,2081767.4218833887
SK,3201748.587311321
IS,300000.0
SE,3318740.119456261
GR,4837350.3471428575
PT,1533745.25828125
LU,4846158.9362
MK,295076.3946612462
BE,5443902.784470588
UK,2.7641092525121752E7
FR,4169363.3940682607
FI,4155358.5553051
PG,2560000.0
NO,4925262.087969022
DK,1.4003368974389916E7
ES,7349439.01372549
DE,3821252.766912426
MM,1275099.3235262537
MD,740000.0
LT,97410.0
AT,5830631.015897435
BG,727222.6892554075
NL,5379455.675661765
UA,649500.0
