Kraj,Wartosc
HU,3997940.214376195
IT,1.0639224377323652E7
TN,2.37031E8
IN,571571.8225119077
PL,1914153.0010000917
SI,1317157.6742046261
IE,5236481.475116279
HR,1588730.0812816138
CZ,3552235.467222513
CH,1328233.88248501
ML,2013314.7213572424
BF,3489745.51701922
SK,4220100.512238095
LV,3122164.686666667
IS,1975146.0785120565
SE,3334851.202192012
GR,1414493.0930882355
PT,1634564.5236994217
AL,6682198.546001503
EE,7322566.0
LU,7486146.894736842
MT,818862.8343181816
CY,285466.0
MK,453383.1581270356
BE,8897211.121392405
UK,8.61411440253511E7
FR,5638579.958371864
FI,3855303.315625
NO,3542339.056921013
GH,1342209.8142381618
DK,7300840.583505973
ES,3529980.4216854996
DE,5.526692745255258E9
LT,714400.0
AT,4615132.340827067
BG,974809.6229590779
CL,270780.47965237737
NL,4178018.603917996
