Kraj,Wartosc
HU,8822340.6309191
IT,1.172923915280168E7
PL,1703486.2572202436
IE,7085891.519768787
SI,1674708.3540653358
HR,1612354.4400545182
CZ,2334515.1726650423
CH,1113717.260926499
ML,1313257.9728143455
BF,2469666.0581982173
TD,6517924.291802457
SK,3161093.672173913
RO,857142.86
LV,959666.7381052632
IS,1.515468402785779E8
GR,2581084.6606382984
SE,4140314.9441604074
PT,1184338.1354404145
MZ,95.07585130479471
EE,300000.0
LU,2333083.548787879
MT,229244.0859090909
MK,392397.2149725498
BE,7132322.414086955
UK,5.69043318073851E7
FR,7979329.4884432815
FI,5642783.280734327
SV,550000.0
NO,5789034.8752775295
GH,644260.7108343176
DK,1.1435661220006512E7
ES,3004899.439697179
DE,2264161.8616596055
LT,957081.8090909091
AT,1317706.032626728
US,772958.9705022144
BG,1411779.1687566724
LB,1.6932353184108365E7
NL,2.838367035212399E9
