Kraj,Wartosc
HU,8058979.722513779
JP,3000000.0
IT,7303449.55439575
PL,1567479.3890422985
SI,1194897.4115532099
IE,8716630.663007518
HR,2049601.690061261
CH,1551758.4774317108
CZ,2507710.067094849
ML,1221410.9309567271
ER,3672000.0
LS,2900000.0
KE,7500000.0
SK,3667960.67692
LV,777461.9660176991
GI,3405013.6839708565
IS,5804424.7529197
GR,2.225966778726027E7
SE,2493562.808539167
PT,1276561.579440559
LU,4309231.371666667
MT,4329821.88
MK,752685.330779976
BE,5331679.585636363
GN,1500000.0
UK,5.745016331470561E7
FR,3.17338216827893E8
FI,2986996.2333430233
NO,4102249.585634676
GH,1342209.8142381618
DK,8669112.01764284
ES,3572331.489601064
DE,3867329.765015321
AT,2178595.4907500003
BG,2427601.818455087
US,216600.0
NL,6049885.201296329
