Kraj,Wartosc
HU,9.151714807358725E7
IT,1.2149309774422409E7
RS,240000.0
UG,436786.0
PL,1400989.0712234683
IE,8773801.685365941
SI,1217572.790702576
HR,2890616.552794949
1A,1000000.0
CZ,3236837.297584379
CH,2214030.811272094
MU,1275000.0
SK,2591375.435587188
LV,1576911.9879620855
IS,6830713.521520862
GR,2304228.9478947367
SE,2522710.501428552
PT,5426473.158089887
MZ,951.6150522488912
EE,2500000.0
LU,2850827.090597015
MT,1169996.8224242425
CY,892485.587
AF,348974.551701922
MK,159843.90668956892
BE,2783880.9359219857
FR,2.9545390094432596E7
UK,9.178417350918305E7
FI,4495636.413919413
KG,555000.0
NO,4905761.7702982025
GH,1251771.7169547942
DK,1.1696366551679824E7
ES,3350589.694122617
PS,690000.0
DE,3060277.292063705
MM,1274437.9496402878
LT,7969524.481982865
AT,3870585.0803960403
BG,546137.5096865457
UA,562248.0
NL,5536810.459277567
