Kraj,Wartosc
HU,3777830.383413868
SO,450000.0
IT,7751099.054645477
RS,350000.0
TN,6100000.0
IN,715082.1838605765
PL,1965420.039389001
SI,1121919.7151162792
IE,5114570.594
HR,1725559.095700203
CZ,2174563.9377073403
CH,1413347.9193921718
MX,851096.85
SK,4329170.231405406
LV,2552139.8167582415
IS,1.0557681639371244E7
GR,5714156.396732674
PH,800000.0
SE,3300610.123824601
PT,1456696.7128877009
AL,800000.0
PE,392249.5195119913
EE,2655633.1449397593
LU,5163134.763773586
MT,549464.2733333333
CY,905665.7448076922
TR,1.39E7
MK,981630.4583662701
ME,730000.0
BE,3604212.945040322
UK,3.0153106244563777E7
FR,3.9921757512053907E8
FI,4674303.33068783
NO,6084878.567037461
GH,644260.7108343176
DK,1.071470264254949E7
ES,2642018.3016828187
PS,1.3209E7
DE,2979232.856634358
MD,331426.09
LT,1764554.3897560977
AT,1983162.0090425531
BG,888394.7668899468
NL,8432866.54483019
