Kraj,Wartosc
HU,5800555.069510869
IT,1.5504835915506402E7
RS,2.0175E7
UG,503765.1153244569
PL,1948151.2917425807
SI,1129595.2816952965
IE,1.4791022181646343E7
HR,1996699.0725917146
CN,6092896.174863388
CZ,1895395.4411149684
CH,3206567.103346083
SK,3045040.8811794873
RO,2772399.76
LV,1052455.1948969073
IS,2097049.834032864
GR,2861682.1712328773
SE,2322315.2348887934
PT,2182903.5037837843
AL,2670787.0
EE,1795010.8096491226
LU,4728107.781395349
MT,1685865.0041935486
CY,4867816.166928557
MK,183607.34891191745
BE,5251758.133333334
UK,3.741481043122951E7
FR,3.0562411390900457E8
FI,3415086.0385604114
EG,5618782.401604412
NO,1.1134197834428705E7
DK,1.4945557018885406E7
DE,2994112.0317183244
ES,3524874.8744115424
PS,264000.0
AT,4893718.374249102
LT,1083376.1306025628
BG,733810.4369957611
UA,428269.6004720483
NL,4131500.4031854896
