Kraj,Wartosc
HU,2.782775286867981E7
IT,4493468.107423133
RS,7.13E8
TN,526441.87
PL,1855402.3354767058
SI,1070535.4553122227
IE,3265126.9388434333
HR,2048152.2027456628
CZ,1263148.5258614055
CH,1160146.995388521
ML,250000.0
SK,3898845.562682927
RO,286990.43306579685
IS,9875730.392560283
SE,2268540.6695407117
GR,5764598.188000001
PT,1578349.1634722224
CD,4000000.0
LU,2650936.0692307693
EE,6.0E7
MT,7.0336E7
CY,3.823499914367031E7
MK,161131.05515092745
LI,375303.75198462437
BE,4229102.643508772
FR,4818354.7811938375
UK,2.6616984102616396E7
FI,4127673.3039412135
NO,3912385.4735751525
DK,1.0304759484379834E7
ES,2486856.587031434
DE,2895300.499428951
LT,495000.0
AT,4054380.7223076923
BG,1784529.5475279847
NL,1.2465078031959184E7
